,Date Created,Number of Likes,Source of Tweet,Tweet
32,2022-10-08 16:15:37+00:00,0,Twitter for iPhone,RT @shervin: 1/Western media is not covering what is happening in Iran. See videos below to see what’s happening across cities in Iran. A w…
33,2022-10-07 19:28:03+00:00,0,Twitter for iPhone,@Brodyy222 Got you!
34,2022-10-07 17:32:15+00:00,13,Twitter Web App,This is great @thepivot 😂😂😂😂😂. https://t.co/chTsbOO6uB
35,2022-10-07 16:58:50+00:00,10,Twitter Web App,@KyleSaulnier_ @fullsendpodcast @BoredJerky genius.
36,2022-10-07 16:52:55+00:00,111,Twitter Web App,I still can't believe we got Elon Musk on the @fullsendpodcast. Can't wait for part 2 one day.
37,2022-10-07 14:14:55+00:00,3,Twitter for iPhone,@JoePompliano 😂😂
38,2022-10-07 06:28:59+00:00,8,Twitter for iPhone,@Jason needs to be closer to 3 hours to fully support podcasts. It’s very bizarre that long term and short term video support is so bad.
39,2022-10-07 06:25:48+00:00,6,Twitter for iPhone,@theryancordner you’re good.
40,2022-10-07 06:21:56+00:00,21,Twitter for iPhone,@elonmusk @Teslaconomics But do you know how to perform Under Pressure…
41,2022-10-06 13:57:51+00:00,80,Twitter for iPhone,You’ll need one of these NFTs https://t.co/bjKd6vjbFO to join our new Twitter Community. https://t.co/emrCYLBso2
42,2022-10-05 21:09:52+00:00,2,Twitter for iPhone,"@ndaigs @gabeponcio @0xmerkle @metacard got you guys, look for invite."
43,2022-10-05 19:17:24+00:00,1,Twitter for iPhone,@TMAY314 @metacard invite sent.
44,2022-10-05 18:06:06+00:00,1,Twitter for iPhone,@Demshk01 Got you.
45,2022-10-05 17:34:37+00:00,0,Twitter Web App,@Space_Peanutz Thank you more.
46,2022-10-05 17:32:40+00:00,1,Twitter for iPhone,@Space_Peanutz done.
47,2022-10-05 17:15:15+00:00,57,Twitter for iPhone,Come join this great community. https://t.co/emrCYLBso2
48,2022-10-05 14:12:04+00:00,0,Twitter for iPhone,RT @KirbySentIt: New Flavor Alert 🚨 Fruit Punch @happydad available now! 🥊 https://t.co/vuJXYX10Hi
49,2022-10-05 00:05:00+00:00,799,Twitter for iPhone,Elon buying Twitter is the greatest thing that will happen to social media.
50,2022-10-04 02:03:48+00:00,45,Twitter for iPhone,Weird day to be off social media. Signing back off.
51,2022-10-03 01:22:18+00:00,57,Twitter for iPhone,Great show @KidRock. Thanks for having us. https://t.co/Y4i3w6O8W8
52,2022-10-01 21:34:44+00:00,0,Twitter for iPhone,RT @happydad: Happy Dad Trucker Hat 👌 https://t.co/os4t7AtOVJ
53,2022-09-30 13:45:41+00:00,118,Twitter for iPhone,"Ralphs, Albertsons and BevMo are all stocked up with @happydad for the weekend. https://t.co/B1vdqEz3J5"
54,2022-09-30 00:31:34+00:00,88,Twitter for iPhone,I need to live healthy so I can see @MrBeast as our president! A new @fullsendpodcast episode is now live!… https://t.co/GhzdZSieKA
55,2022-09-29 11:59:27+00:00,100,Twitter for iPhone,Good morning. A top 3 @fullsendpodcast episode will be airing today. Team is finishing up touches on this one early… https://t.co/xtzmrcMd12
56,2022-09-28 13:52:47+00:00,4,Twitter for iPhone,@BarrySilbert 🔥
57,2022-09-27 13:51:29+00:00,1475,Twitter for iPhone,Rise with women in Iran. https://t.co/JgGpvSnC4C
58,2022-09-27 03:01:01+00:00,0,Twitter for iPhone,"RT @HistoryInPics: #IranRevolution 
📸 Misan Harriman https://t.co/sOVFyR8qVg"
59,2022-09-25 13:56:14+00:00,237,Twitter for iPhone,@BradleyMartyn she has Steiny’s number saved.
60,2022-09-23 20:41:41+00:00,716,Twitter for iPhone,This won’t bring back Mahsa Amini or the many women and men killed by the regime but it will allow the people of Ir… https://t.co/6EkU0VqcUZ
61,2022-09-23 15:22:35+00:00,2823,Twitter for iPhone,I just spoke with @elonmusk. The request to the US government has been made to allow Starlink services in Iran. Tha… https://t.co/NXuvl45JUm
62,2022-09-23 12:43:18+00:00,489,Twitter for iPhone,https://t.co/mfpJZvf6QH
63,2022-09-23 02:47:36+00:00,0,Twitter for iPhone,"RT @themetav3rse: Iran has shut down access to the Internet.

Presumably, the theocratic government is scared that people will organize mas…"
64,2022-09-22 21:51:55+00:00,187,Twitter Web App,https://t.co/JbUudmOiYs
65,2022-09-22 01:40:58+00:00,10,Twitter for iPhone,@HistoryInPics @elonmusk send me link please.
66,2022-09-21 21:30:20+00:00,2610,Twitter for iPhone,Hi @elonmusk. Need #starlink in Iran asap! Let’s send it! You’re a great man.
67,2022-09-21 14:58:42+00:00,2,Twitter for iPhone,@JoshConstine I’ll die as one I guess.
68,2022-09-20 14:00:57+00:00,38,Twitter for iPhone,Boston
69,2022-09-19 16:39:08+00:00,118,Twitter for iPhone,You know the new iPhone is out when my current one starts running like shit for no reason !!
70,2022-09-18 18:39:39+00:00,14,Twitter for iPhone,@PostMalone I’m glad you’re ok Posty! I love you!!!
71,2022-09-18 02:39:46+00:00,0,Twitter for iPhone,RT @RealCryptoDomus: I believe in the @metacard and it’s founders @KyleForgeard @john and @stevewilldoit . I think in the next year it will…
72,2022-09-18 02:38:09+00:00,147,Twitter for iPhone,What @TimJDillon is doing to give back to the less fortunate using his merch is incredible. So happy me and… https://t.co/pEf8mAMsOc
73,2022-09-18 02:21:52+00:00,5,Twitter for iPhone,@garyvee @JoePompliano 1000% agree
74,2022-09-18 02:21:48+00:00,25,Twitter for iPhone,TikTok keeps deleting my Happy Dad videos. https://t.co/dNpMoeh5ky https://t.co/DG6WYkUPtj
75,2022-09-18 01:23:53+00:00,1,Twitter for iPhone,"@breathewild @happydad @jewelosco @gopuff @CircleKStores It is.. check Total Wine, Fry’s, Circle K and/or BevMo."
76,2022-09-17 14:15:06+00:00,59,Twitter for iPhone,".@happydad spotted in Chicago… now available almost everywhere in IL including @jewelosco, @gopuff and… https://t.co/A5l4vUPqgg"
77,2022-09-17 02:33:39+00:00,6,Twitter for iPhone,@HawleyMO uhhhhh
78,2022-09-16 22:38:51+00:00,107,Twitter for iPhone,https://t.co/usuKw9WDNW
79,2022-09-14 22:56:10+00:00,75,Twitter for iPhone,Our Full Send Supplements have started to hit 7-11 locations in California. Soon nationwide! https://t.co/TzhyVpYB4g
80,2022-09-14 03:40:56+00:00,0,Twitter for iPhone,RT @happydad: New @ThePivot episode with @JaMorant now on YouTube! https://t.co/Gr8O7FvbSQ
81,2022-09-13 21:17:30+00:00,72,Twitter for iPhone,This is 🔥🔥… @JaMorant trying the @BoredApeYC / @happydad on @thepivot. https://t.co/EVgRChkUaf
82,2022-09-10 15:10:18+00:00,100,Twitter for iPhone,https://t.co/XISLNe0ORI
83,2022-09-08 20:29:46+00:00,20,Twitter for iPhone,https://t.co/PHoQ4EOqva 🔥🔥 @Snapchat
84,2022-09-07 21:52:44+00:00,39,Twitter for iPhone,🖖🏼 https://t.co/Iv3NknJPv1
85,2022-09-07 18:16:16+00:00,0,Twitter for iPhone,RT @happydad: Tomorrow. New Fruit Punch Flavor. LFG!! https://t.co/VLQEY8dQE1
86,2022-09-04 19:40:04+00:00,6,Twitter for iPhone,@MikeAngeles_ @happydad we will get there
87,2022-09-04 19:09:41+00:00,4,Twitter for iPhone,@NTmoney wow
88,2022-09-04 14:46:01+00:00,44,Twitter for iPhone,"Thank you for 2M views, 120k likes and 2.3k comments on the @happydad fruit punch video on IG.… https://t.co/6pWb1QgsQS"
89,2022-09-04 05:11:45+00:00,9,Twitter for iPhone,@NGBxShpend @happydad 🔥🔥
90,2022-09-04 01:36:56+00:00,11,Twitter for iPhone,@cb_doge @elonmusk they can get 3 hours of this here https://t.co/GUYElC34wG
91,2022-09-03 22:04:18+00:00,21,Twitter for iPhone,Let’s go @bambamtuivasa. #UFCParis
92,2022-09-03 17:58:43+00:00,0,Twitter for iPhone,"RT @Realrclark25: RB @Bijan5Robinson is ready to start the resurrection of @TexasLonghorns football! He knows @thepivot will be difficult,…"
93,2022-09-03 17:31:52+00:00,5,Twitter for iPhone,@shaneyyricch Shaneyy
94,2022-09-02 21:12:21+00:00,0,Twitter Web App,RT @happydad: Introducing our new flavor... FRUIT PUNCH! https://t.co/haSfk8IkfU
95,2022-09-02 20:34:09+00:00,109,Twitter for iPhone,"Introducing the latest @happydad flavor, FRUIT PUNCH. https://t.co/5jwpvlwhfn"
96,2022-09-02 04:46:49+00:00,55,Twitter for iPhone,goodnight
97,2022-09-01 23:12:53+00:00,82,Twitter Web App,hello
98,2022-08-31 23:38:59+00:00,103,Twitter for iPhone,This episode with @stevewilldoit on @BradleyMartyn’s podcast is hilarious. https://t.co/JUgnhDdF8d
99,2022-08-31 21:02:18+00:00,17,Twitter for iPhone,@stevewilldoit 📠
